question,answer,category
How do I apply for the 'Work-Study' scheme?,"Applications are available at the Dean of Students' office at the start of every semester.",Scholarships
What is the 'Student Union Relief' fund?,"A fund managed by the UTGSU to provide small grants for students in immediate financial need.",Scholarships
Are there scholarships for Law students?,"The 'Gambian Bar Association' and private law firms occasionally provide prizes and grants.",Scholarships
What is the 'Kavli' foundation grant?,"A specialized research grant sometimes available for students in the natural sciences.",Scholarships
How do I provide proof of financial need?,"Usually through an affidavit of means, parents' pay stubs, or a letter from a community leader.",Scholarships
What is the 'MoHERST' student loan?,"A government-backed loan scheme for students who do not qualify for a full scholarship.",Scholarships
Are there 'Sports' scholarships?,"UTG offers partial fee waivers for exceptional athletes who represent the university in national competitions.",Scholarships
What is the 'Islamic Development Bank' (IsDB) scholarship?,"A grant for students from member countries pursuing degrees in developmental fields.",Scholarships
How do I write a 'Scholarship Essay'?,"It should focus on your academic goals, financial situation, and how you intend to contribute to national development.",Scholarships
What is the 'Alumni Scholarship' fund?,"A scholarship funded by contributions from UTG graduates to support current students.",Scholarships
Do I need to be admitted before applying for a scholarship?,"Most scholarship providers require a 'Letter of Admission' as a prerequisite for application.",Scholarships
What is the 'Female Engineers' grant?,"A specific initiative to encourage more women to enter the School of Engineering and Architecture.",Scholarships
Can a scholarship be revoked for misconduct?,"Yes, violations of the university code of conduct can lead to the immediate termination of financial aid.",Scholarships
What is the 'Basse' community grant?,"A local scholarship specifically for students originating from the Upper River Region.",Scholarships
Are there scholarships for PhD students?,"Yes, MoHERST and international partners offer 'Faculty Development' grants for doctoral research.",Scholarships
What is the 'Fulbright' program?,"A US-funded exchange program for postgraduate students and faculty members.",Scholarships
Does the 'European Union' provide scholarships?,"The EU often funds regional programs like 'Erasmus+' for student exchange and Master's degrees.",Scholarships
What is the 'St. Mary's' scholarship?,"A historical partnership grant for students in specific humanities tracks.",Scholarships
How do I find out about new scholarships?,"Check the university notice boards, the 'Scholarships' tab on the UTG website, and local newspapers.",Scholarships
What is the 'Merit-Based' selection process?,"A system where scholarships are awarded solely on the basis of high WASSCE or CGPA scores.",Scholarships
Does 'Trust Bank' offer scholarships?,"Trust Bank often sponsors students in the School of Business and Public Administration.",Scholarships
What is the 'Hassoum Ceesay' history prize?,"A small scholarship prize awarded to the best student in the Department of History.",Scholarships
Can I transfer my scholarship to another program?,"This depends on the sponsor; most government scholarships are tied to the specific program originally approved.",Scholarships
What is the 'Master of Public Health' fellowship?,"A grant provided by the Ministry of Health for medical professionals pursuing advanced training.",Scholarships
Are there scholarships for the 'School of Education'?,"Yes, education students are often high priorities for government sponsorship to meet national teaching needs.",Scholarships
What is the 'Green Energy' scholarship?,"A specialized grant for students researching renewable energy in the Physics department.",Scholarships
Does 'Ecobank' provide financial aid?,"Ecobank occasionally offers internships and small grants to top finance students.",Scholarships
What is the 'Peace Corps' partnership?,"A collaborative effort that sometimes provides training and resources for students in rural development.",Scholarships
How do I get a recommendation letter for a scholarship?,"Request one from your HOD or a senior lecturer who is familiar with your academic work.",Scholarships
What is the 'Tanzania/Gambia' bilateral scholarship?,"An exchange program allowing students to pursue specialized medical training in Tanzania.",Scholarships
Are there grants for 'Study Abroad'?,"UTG's international relations office coordinates with partner universities for short-term travel grants.",Scholarships
What is the 'STEM' initiative scholarship?,"A government program to increase enrollment in Science, Technology, Engineering, and Math.",Scholarships
Does 'GTBank' offer any student awards?,"GTBank often recognizes the most 'Outstanding Graduating Student' with a significant cash prize.",Scholarships
What is the 'Banjul City Council' (BCC) scholarship?,"A local government grant for residents of Banjul attending UTG.",Scholarships
What is the 'Kanifing Municipal Council' (KMC) scholarship?,"A scholarship program for students residing within the Kanifing Municipality.",Scholarships
What is the 'Brikama Area Council' (BAC) scholarship?,"A grant for students from the West Coast Region.",Scholarships
Can I get a scholarship for 'Summer' school?,"Most standard scholarships do not cover summer sessions unless explicitly stated in the award letter.",Scholarships
What is the 'Certificate in Nursing' sponsorship?,"Government grants specifically for students entering mid-level healthcare professions.",Scholarships
Are there 'Language' grants?,"The French government occasionally offers scholarships for French majors to study in Senegal or France.",Scholarships
What is the 'African Union' scholarship?,"A continental program focusing on 'The Africa We Want' (Agenda 2063) research areas.",Scholarships
How do I appeal a scholarship rejection?,"Appeals must be directed to the specific scholarship board or the PMO, not the university itself.",Scholarships
What is the 'Corporate Sponsorship' program?,"When a private company pays for an employee or a student to attend UTG in exchange for future service.",Scholarships
Does 'Standard Chartered' offer scholarships?,"They have historically provided grants for students in banking and environmental studies.",Scholarships
What is the 'President's' award for excellence?,"A prestigious award given at graduation that includes a full scholarship for further studies.",Scholarships
What is the 'Distance Learning' grant?,"Small subsidies provided to help students cover the data and technology costs of online courses.",Scholarships
Are there 'Medical' scholarships for rural students?,"Yes, to encourage doctors and nurses to work in provincial areas after graduation.",Scholarships
What is the 'Creative Arts' grant?,"A rare but available grant for students in Journalism and Digital Media specializing in film or design.",Scholarships
How do I report a change in my financial status to my sponsor?,"Submit a formal letter to the scholarship board with supporting documents explaining the change.",Scholarships
What is the 'Faculty of Law' scholarship?,"Private legal practitioners sometimes sponsor the tuition of the top Law student each year.",Scholarships
Are there grants for 'Gender Research'?,"International NGOs often provide funding for students researching women's rights and gender issues.",Scholarships
What is the 'Data Science' fellowship?,"A 2026 initiative to support students specializing in high-level data analysis and AI.",Scholarships
Can I use scholarship funds for 'Housing'?,"Only if your scholarship is 'Fully-Funded' and includes a specific living allowance or stipend.",Scholarships
What is the 'Transparency International' scholarship?,"Occasionally available for students in Public Administration focusing on anti-corruption.",Scholarships
Does the 'Central Bank of The Gambia' sponsor students?,"Yes, particularly for advanced degrees in Economics, Finance, and Statistics.",Scholarships
What is the 'Young African Leaders Initiative' (YALI)?,"A program that UTG students often join which provides leadership training and networking.",Scholarships
Are there 'Entrepreneurship' grants?,"The university's Innovation Hub provides small seed grants for student-led business projects.",Scholarships
What is the 'Post-Graduate Diploma' sponsorship?,"Government grants aimed at professionalizing the civil service through PGD programs.",Scholarships
Can I apply for a scholarship in my second year?,"Yes, 'Continuing Student' scholarships are often available for those who perform exceptionally well.",Scholarships
What is the 'Research Assistantship'?,"A form of financial aid where graduate students are paid to assist faculty with research projects.",Scholarships
What is the 'Graduate Assistantship'?,"A program where Master's students help with tutoring and grading in exchange for tuition credit.",Scholarships
How do I verify if a scholarship advertisement is legitimate?,"Cross-check with the Dean of Students office or the official MoHERST website.",Scholarships
What is the 'Endowed' scholarship?,"A permanent fund established by a donor where the interest earned pays for student tuition.",Scholarships
Are there 'Nursing' fellowships?,"The WHO and other health organizations sometimes offer specialized fellowships for Nursing students.",Scholarships
What is the 'Sustainability' grant?,"A fund for students working on projects related to the UN Sustainable Development Goals.",Scholarships
Can I pause my scholarship if I defer a semester?,"You must seek written permission from the sponsor to 'suspend' the scholarship for a semester.",Scholarships
What is the 'Computer Science' prize?,"A cash award for the best final-year software development project.",Scholarships
Does 'Jah Oil' provide student support?,"As a major local company, they often provide scholarships for students from the North Bank Region.",Scholarships
How do I get a 'Stipend'?,"Stipends are usually only provided by high-level government or international research scholarships.",Scholarships
What is the 'Foundation Year' bursary?,"A small grant to help students cover the cost of the remedial pre-degree program.",Scholarships
What are the requirements for graduation clearance?,"Students must be cleared by the Library, Finance Office, Department, and the Dean of Students.",Graduation
How is a 'First Class' degree classified?,"A student must achieve a Cumulative Grade Point Average (CGPA) of 3.60 to 4.30.",Graduation
What is the classification for 'Second Class Upper'?,"A CGPA ranging from 3.00 to 3.59.",Graduation
What is the classification for 'Second Class Lower'?,"A CGPA ranging from 2.50 to 2.99.",Graduation
What is a 'Third Class' degree classification?,"A CGPA ranging from 2.00 to 2.49.",Graduation
What is a 'Pass' degree?,"A CGPA ranging from 1.00 to 1.99; however, most programs require a 2.0 to graduate.",Graduation
What is the 'Chancellor's Award'?,"A prestigious award given to the overall best-graduating student of the university.",Graduation
When is the 2026 Convocation ceremony usually held?,"The main graduation ceremony is typically scheduled for February or March each year.",Graduation
How do I apply for my final transcript?,"Applications are made at the Exams and Records office after final Senate approval of results.",Graduation
What is the 'Graduation Fee' for 2026?,"The fee covers the certificate, transcript, and gown rental; the exact amount is announced annually.",Graduation
Where do I collect my graduation gown?,"Gowns are collected from the University Stores at the Kanifing Campus upon presentation of a receipt.",Graduation
What happens if I lose my graduation gown?,"Students are required to pay a replacement fine before their certificate can be released.",Graduation
Can I graduate with an 'Incomplete' (IC) grade?,"No, all IC grades must be resolved and converted to a passing grade before a student is eligible.",Graduation
What is the 'Senate Approval' of results?,"The formal process where the University Senate vets and confirms the final grades of all candidates.",Graduation
How do I verify my name for the graduation booklet?,"Students must confirm the spelling of their names on the provisional list at the Registrar's office.",Graduation
What is the 'Alumni Association' registration?,"Graduating students are required to register with the UTG Alumni Association during clearance.",Graduation
Can I graduate if I haven't completed my 'General Education' courses?,"No, all GER courses are mandatory for the conferral of any UTG degree.",Graduation
What is the 'Valedictorian'?,"The student with the highest CGPA in the graduating class who delivers the farewell speech.",Graduation
How many guests can a graduand bring to the ceremony?,"Typically, each graduand is issued two invitation cards for their guests.",Graduation
What is the 'Convocation Lecture'?,"A scholarly lecture delivered by a distinguished guest a day before the main graduation ceremony.",Graduation
Where is the 2026 Graduation ceremony held?,"The ceremony is held at the QCity Arena or the main square of the Faraba Banta Campus.",Graduation
How do I get my certificate if I miss the ceremony?,"Certificates can be collected from the Registrar's office starting one week after the convocation.",Graduation
What is the 'Final Year Project' submission deadline?,"Projects must be defended and final bound copies submitted at least one month before the Senate meeting.",Graduation
Does the university issue 'Aegrotat' degrees?,"An Aegrotat degree may be awarded to a student who is unable to finish due to terminal illness, subject to Senate.",Graduation
What is a 'Posthumous Degree'?,"A degree awarded to a student who passed away after completing all requirements but before convocation.",Graduation
Can I request an 'Early Transcript' before graduation?,"Yes, a partial transcript showing completed semesters can be requested for employment or scholarship purposes.",Graduation
What is 'Academic Procession'?,"The formal march of faculty and graduands in their academic regalia at the start of the ceremony.",Graduation
What is the color of the School of Medicine graduation hood?,"Each school has a distinct hood color; for Medicine, it is typically green or crimson.",Graduation
What is the 'Graduation Audit'?,"A final check by the Registrar to ensure the student has met the minimum credit hours for their major.",Graduation
How do I return my graduation gown?,"Gowns must be returned to the University Stores within two weeks of the ceremony to avoid a fine.",Graduation
Can international students have their certificates mailed?,"Yes, via courier services like DHL, provided the student covers the shipping costs.",Graduation
What is the 'Vice-Chancellor's Prize'?,"An award given to students who showed exceptional leadership or community service during their studies.",Graduation
What is the 'Dean's Prize'?,"An award for the best student in each individual school or faculty.",Graduation
How long does it take to get a 'Replacement Certificate'?,"Processing a replacement for a lost certificate can take several months and requires a police report.",Graduation
What is the 'Official Graduation Date'?,"The date the University Senate approved the results, which appears on the certificate.",Graduation
Can I graduate 'In Absentia'?,"Yes, students who cannot attend the ceremony are still conferred their degrees.",Graduation
What is the 'Order of Proceedings'?,"A booklet given at graduation detailing the program, names of graduands, and prize winners.",Graduation
How do I qualify for 'Summa Cum Laude'?,"This highest honor is for students with a near-perfect CGPA, typically 3.9 and above.",Graduation
How do I qualify for 'Magna Cum Laude'?,"This honor is for students with great distinction, typically a CGPA of 3.7 to 3.89.",Graduation
How do I qualify for 'Cum Laude'?,"This honor is for students graduating with praise, typically a CGPA of 3.5 to 3.69.",Graduation
Is there a dress code for the graduation ceremony?,"Yes, graduands must wear formal business attire under their academic gowns.",Graduation
What is the 'Alumni ID' card?,"A card issued to graduates that allows continued access to certain university facilities.",Graduation
Can I use a 'Statement of Result' for job applications?,"Yes, while waiting for the original certificate, an official statement can be used.",Graduation
How is the 'Best Male' and 'Best Female' student determined?,"Based on the highest CGPA within their respective gender categories across the university.",Graduation
What is the 'Mace Bearer's' role in graduation?,"Leading the academic procession as a symbol of the university's authority.",Graduation
Does the university hold separate graduations for each school?,"No, all schools usually graduate together in one large convocation ceremony.",Graduation
What is the 'National Anthem' protocol?,"All attendees must stand during the playing of the Gambian National Anthem at the start and end.",Graduation
What is the 'Oath of Allegiance' for medical graduates?,"Medical and Nursing students take a professional oath (Hippocratic or similar) during their induction.",Graduation
How do I clear my library account for graduation?,"Return all borrowed books and pay any outstanding fines to receive a library clearance stamp.",Graduation
What is the 'Financial Clearance' stamp?,"A confirmation from the Accounts office that all tuition and administrative fees have been paid.",Graduation
Can I graduate with a 'Disciplinary Case' pending?,"No, all disciplinary issues must be resolved before a student is eligible for graduation.",Graduation
What is the 'Graduation Photo' session?,"Official photographers are usually present at the ceremony to take portraits of graduands.",Graduation
Who confers the degrees during convocation?,"The Chancellor of the University, His Excellency the President, officially confers the degrees.",Graduation
What is the 'Scroll' received on stage?,"It is a symbolic tube representing the degree; the actual certificate is collected later.",Graduation
Can I change my name on my certificate after graduation?,"No, the name on the certificate must match the name used during admission and registration.",Graduation
How do I apply for 'WES' verification?,"The university can send your verified transcripts directly to WES (World Education Services) upon request.",Graduation
What is 'Degree Verification'?,"A service where employers contact the Registrar to confirm the authenticity of a graduate's degree.",Graduation
Are there prizes for the 'Most Disciplined' student?,"Some schools offer awards for students who demonstrated exemplary character.",Graduation
What is the 'Alumni Homecoming'?,"An event organized by the Alumni Association for former students to visit the campus.",Graduation
How do I pay my 'Graduation Fee' via the bank?,"Use the specific graduation payment code provided on the portal at any partner bank.",Graduation
What is the 'Provisional Graduation List'?,"A list released before Senate approval for students to check for any errors in their records.",Graduation
Can I graduate if I failed a 'Minor' subject?,"No, all courses registered and required for the program must be passed.",Graduation
What is 'Academic Regalia'?,"The combination of the gown, hood, and mortarboard (cap) worn during the ceremony.",Graduation
What is the 'Tassel' ceremony?,"The act of moving the tassel on the cap from right to left after the degree is conferred.",Graduation
How do I get my 'Degree Attestation'?,"Apply at the Registrar's office for a letter confirming your degree status for embassies or employers.",Graduation
Does the university provide transport to the graduation venue?,"The university often provides shuttle buses for graduands from the Kanifing Campus to the venue.",Graduation
What is the 'Best Project' award?,"A prize given to the student with the most outstanding research thesis in their department.",Graduation
Can I defer my graduation to the next year?,"If you meet all requirements, you are automatically moved to the next available convocation.",Graduation
What is the 'Certificate Tracking' system?,"An internal system used by the Registrar to log the collection of certificates.",Graduation
How is the 'CGPA' rounded for honors?,"The CGPA is typically not rounded up; a 3.59 remains a Second Class Upper.",Graduation
What is the 'University Anthem'?,"A song performed during the convocation that represents the spirit and values of UTG.",Graduation
Is there a 'Rehearsal' for the graduation ceremony?,"Yes, a mandatory rehearsal is usually held a day or two before the main event.",Graduation
What is 'Honorary Degree' (Honoris Causa)?,"A degree awarded to individuals for outstanding contributions to society, not through study.",Graduation
Who is the 'Keynote Speaker'?,"A guest invited to give an inspiring address to the graduating class.",Graduation
Can I graduate with a 'D' grade?,"Yes, provided your overall CGPA remains at or above 2.0 and the course isn't a core major requirement.",Graduation
What is the 'Diploma' vs 'Degree' gown difference?,"The design of the hood or the sleeve shape often distinguishes a diploma from a degree.",Graduation
How do I register for the 'National Youth Service Scheme' (NYSS)?,"Graduates are often briefed on NYSS and other post-graduation opportunities during orientation.",Graduation
What is the 'Convocation Committee'?,"The group of staff responsible for planning all logistics for the graduation ceremony.",Graduation
Where is the 'Collection Point' for certificates?,"The Admissions and Records office at the Kanifing Campus.",Graduation
Does the university provide 'Graduation Announcements'?,"Official announcements are made via the website, social media, and local radio stations.",Graduation
What is the 'Certificate Folder'?,"A leather or cardboard folder given to graduates to protect their certificate.",Graduation
Can I collect a certificate for a friend?,"Only with a formal 'Letter of Authorization' and a valid ID from both parties.",Graduation
How are 'Double Majors' listed on the certificate?,"Both majors are clearly stated on the single degree certificate issued to the student.",Graduation
What is the 'Registrar's' signature role?,"The Registrar's signature on the certificate validates its authenticity.",Graduation
How do I get a 'Transcript' for WES?,"Follow the standard transcript application process and provide your WES reference number.",Graduation
What is the 'Graduation Program'?,"The document listing the sequence of events, from the opening prayer to the closing.",Graduation
Are there 'Departmental' graduation parties?,"Many departments hold smaller, informal celebrations for their students after the main ceremony.",Graduation
How do I get a 'Translation' of my degree?,"The university provides certificates in English; translations to other languages are the student's responsibility.",Graduation
What is the 'Alumni Newsletter'?,"A publication sent to graduates to keep them informed about university news.",Graduation
Can I graduate if I have 'Library Fines'?,"No, library clearance is a strict requirement for graduation.",Graduation
What is the 'Gown Return' deadline?,"Usually 7 to 14 days after the convocation ceremony.",Graduation
How do I update my 'Alumni' contact info?,"Through the Alumni portal or by visiting the Alumni office at Kanifing.",Graduation
What is the 'Best Teacher' award?,"Occasionally presented at graduation to a faculty member nominated by the students.",Graduation
Is the 'CGPA' printed on the degree certificate?,"No, the certificate shows the honors classification, while the transcript shows the CGPA.",Graduation
What is the 'Academic Cap' (Mortarboard)?,"The square hat worn as part of the academic regalia.",Graduation
How do I apply for 'Graduate School' at UTG?,"Many graduates apply immediately for Master's programs using their final year results.",Graduation
What is the 'Final Clearance' form?,"A document that requires signatures from various departments before graduation.",Graduation
Are there prizes for 'Community Service'?,"Yes, for students who demonstrated outstanding volunteerism during their time at UTG.",Graduation
What is the 'Graduation Sash'?,"A decorative cloth worn over the gown, often for specific honors or student leaders.",Graduation
How do I provide feedback on my university experience at graduation?,"Students are often asked to complete an 'Exit Survey' during the clearance process.",Graduation
